id,title,release_date,vote_average,vote_count
200,Star Trek: Insurrection,1998-11-12,6.4,1325
203,Mean Streets,1973-10-14,7.055,2267
204,The Wages of Fear,1953-04-22,8.008,1059
205,Hotel Rwanda,2004-12-22,7.716,3113
207,Dead Poets Society,1989-02-06,8.301,12380
201,Star Trek: Nemesis,2002-12-13,6.3,1552
206,Paradise Found,2003-01-01,6.4,29
1265609,War Machine,2026-02-12,7.254,949
1290821,Shelter,2026-01-28,6.59,321
1523145,Your Heart Will Be Broken,2026-03-26,0.0,0
799882,The Bluff,2026-02-17,6.313,283
1084242,Zootopia 2,2025-11-26,7.606,2222
1054867,One Battle After Another,2025-09-23,7.397,3174
687163,Project Hail Mary,2026-03-15,8.4,69
840464,Greenland 2: Migration,2026-01-07,6.413,630
1327819,Hoppers,2026-03-04,7.7,215
1171145,Crime 101,2026-02-11,7.0,183
1159559,Scream 7,2026-02-25,5.937,350
1236153,Mercy,2026-01-20,7.078,755
1233413,Sinners,2025-04-16,7.474,4057
1088434,Hellfire,2026-02-05,6.904,57
1168190,The Wrecking Crew,2026-01-28,6.881,790
1316092,"""Wuthering Heights""",2026-02-11,6.3,526
1058710,Bloodline Killer,2024-04-26,5.818,44
1193501,Whistle,2026-01-20,6.103,156
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.7,764
1634301,Vanaveera,2026-02-13,7.0,3
755898,War of the Worlds,2025-07-29,4.158,924
1284460,Alpha,2025-08-20,6.401,96
1368166,The Housemaid,2025-12-18,7.237,1533
680493,Return to Silent Hill,2026-01-21,5.029,273
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,6.9,182
384530,Cipher Bureau,1938-10-25,4.4,5
278,The Shawshank Redemption,1994-09-23,8.7,29936
1242898,Predator: Badlands,2025-11-05,7.705,2416
1451398,Re/Member: The Last Night,2025-09-05,4.667,9
1419406,The Shadow's Edge,2025-08-16,7.215,500
969681,Spider-Man: Brand New Day,2026-07-29,0.0,0
1234731,Anaconda,2025-12-24,5.849,799
1387382,Hunting Season,2025-12-05,6.997,154
1317288,Marty Supreme,2025-12-19,7.469,1346
858024,Hamnet,2025-11-26,7.7,1041
1362514,House on Eden,2025-07-25,4.697,38
1217584,Torrente for President,2026-03-13,6.5,11
1306368,The Rip,2026-01-13,7.071,1387
1584215,The Internship,2026-01-13,6.11,59
1170608,Dune: Part Three,2026-12-16,0.0,0
1167307,David,2025-12-14,8.032,108
7451,xXx,2002-08-09,6.0,4819
81471,Tintorera: Killer Shark,1977-04-07,3.791,43
461955,Rakka,2017-06-14,6.994,340
1426964,State of Fear,2026-02-10,5.404,57
803796,KPop Demon Hunters,2025-06-20,8.043,2535
696393,Cold Storage,2026-01-22,6.725,204
1367642,Reminders of Him,2026-03-11,7.2,44
1062722,Frankenstein,2025-10-17,7.653,3144
1601243,Oscar Shaw,2026-01-09,6.692,26
425274,Now You See Me: Now You Don't,2025-11-12,6.544,1240
1448560,Wildcat,2025-11-19,6.19,137
1511417,Bāhubali: The Epic,2025-10-29,6.0,33
157336,Interstellar,2014-11-05,8.468,39145
15598,Alfie,1966-03-29,6.5,225
1272837,28 Years Later: The Bone Temple,2026-01-14,7.204,837
1539104,JUJUTSU KAISEN: Execution,2025-11-07,5.8,86
668333,Waisetsuna onna: kuroi hada ni naku,1985-03-23,9.0,3
24428,The Avengers,2012-04-25,7.969,36519
1401778,Turbulence,2025-11-26,5.9,69
126889,Alien: Covenant,2017-05-09,6.171,9292
1450966,Racek,2025-04-10,0.0,0
276746,The Enchanted,1984-02-03,5.429,8
52702,Superstition,1982-08-26,6.074,129
929831,The Empire,2024-02-21,4.842,98
588787,Ordinary Love,2019-12-06,6.8,156
1297842,GOAT,2026-02-11,7.6,112
1396888,Celestina: Burlesk Dancer,2024-12-04,3.0,4
121872,Ginger & Rosa,2012-10-18,6.0,239
911430,F1,2025-06-25,7.751,3576
1241748,Kalikot,2024-03-12,6.3,13
1291335,Solo Mio,2026-02-05,7.007,69
1582770,Dhurandhar: The Revenge,2026-03-18,9.0,1
179514,Schüleraustausch,2006-02-22,5.944,9
546766,Petmalu,2018-09-05,0.0,0
238,The Godfather,1972-03-14,8.687,22615
1180831,Troll 2,2025-11-30,6.5,438
457332,Hidden Strike,2023-07-06,6.891,1053
1624,Liar Liar,1997-03-21,6.705,6140
798645,The Running Man,2025-11-11,6.766,1280
1650558,Abot Langit,2026-03-13,5.0,1
201760,Panorama,2013-02-23,6.0,3
1363123,The Family Plan 2,2025-11-11,6.538,520
1226863,The Super Mario Galaxy Movie,2026-04-01,0.0,0
1220564,The Secret Agent,2025-07-23,7.3,535
1069905,Jay Kelly,2025-11-14,6.143,384
1159831,The Bride!,2026-03-04,6.282,172
1470086,Ligaw,2025-05-09,6.667,6
1010581,My Fault,2023-06-08,7.751,4019
1424965,Ice Skater,2026-02-24,5.7,10
1561687,Made in Korea,2026-03-12,6.667,15
1381027,The Good Boy,2026-03-06,7.8,31
1191876,From the Ashes,2027-06-01,0.0,0
1124566,Sentimental Value,2025-08-20,7.538,713
4934,Firecreek,1968-01-24,6.322,73
10866,Joy Ride,2001-10-05,6.53,1318
952374,The Aviary,2022-04-29,5.256,39
1006462,The Flood,2023-07-14,6.153,280
1199193,Pose,2026-02-25,6.7,24
438631,Dune,2021-09-15,7.778,14576
1248226,Playdate,2025-11-04,6.03,548
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,8.32,762
10733,The Alamo,2004-04-07,5.768,360
1234821,Jurassic World Rebirth,2025-07-01,6.299,3112
1246049,Dracula,2025-07-30,7.103,956
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,6.8,239
31250,A Fox's Tale,2008-04-17,1.77,23
1305781,Blades of the Guardians: Wind Rises in the Desert,2026-02-17,7.367,30
1439112,Muzzle: City of Wolves,2025-11-13,6.705,112
875828,Peaky Blinders: The Immortal Man,2026-03-05,8.6,12
413766,Zombie Prom,2006-02-09,6.5,2
634649,Spider-Man: No Way Home,2021-12-15,7.9,21672
1499826,Caring Cabin,2025-07-01,0.0,0
553510,Bizet: Carmen,2017-03-07,0.0,0
1061474,Superman,2025-07-09,7.35,4483
431418,Carnaval,1990-02-07,0.0,0
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.429,27167
27205,Inception,2010-07-15,8.37,38854
1078605,Weapons,2025-08-04,7.266,3066
269149,Zootopia,2016-02-11,7.76,17830
1214931,Nuremberg,2025-11-06,7.341,737
533533,TRON: Ares,2025-10-08,6.476,1270
299536,Avengers: Infinity War,2018-04-25,8.234,31613
10184,He's Just Not That Into You,2009-02-06,6.627,3996
1110034,Kraken,2026-02-06,6.2,8
19995,Avatar,2009-12-16,7.6,33622
628847,Trap House,2025-11-14,6.531,239
1228246,Five Nights at Freddy's 2,2025-12-03,6.694,815
1600672,EVANGELION 30th Anniversary Special Screening,2026-02-21,7.667,3
318572,Aambala,2015-01-15,5.5,23
597,Titanic,1997-12-18,7.903,26892
155,The Dark Knight,2008-07-16,8.527,35340
693134,Dune: Part Two,2024-02-27,8.1,7643
1241470,Osiris,2025-07-25,5.926,210
615457,Nobody,2021-03-18,7.885,8133
122,The Lord of the Rings: The Return of the King,2003-12-17,8.494,26180
701387,Bugonia,2025-10-23,7.353,1647
1083637,Kantara - A Legend: Chapter 1,2025-10-01,6.985,68
795615,The Feast,2021-11-19,5.7,85
1266127,Ready or Not: Here I Come,2026-03-19,7.9,5
571756,Leberkäsjunkie,2019-08-01,6.933,105
1715,The Cider House Rules,1999-12-17,7.075,1270
1095885,SHARE?,2023-11-10,5.5,22
1353333,Mouseboat Massacre,2025-05-09,5.661,28
1198994,Send Help,2026-01-22,7.1,366
4247,Scary Movie,2000-07-07,6.4,7604
1835,"Farewell, My Lovely",1975-08-08,6.623,179
1575337,Cosmic Princess Kaguya!,2026-01-22,8.313,56
617126,The Fantastic 4: First Steps,2025-07-23,7.0,3092
1315303,Primate,2026-01-01,6.534,484
557,Spider-Man,2002-05-01,7.323,20404
575265,Mission: Impossible - The Final Reckoning,2025-05-17,7.2,2638
1249508,Grizzly Night,2026-07-02,0.0,0
496243,Parasite,2019-05-30,8.5,20285
17657,Ice Station Zebra,1968-04-04,6.292,180
262982,The Hollow Point,2016-12-16,5.73,202
638460,Kasganj,2019-04-12,0.0,0
502356,The Super Mario Bros. Movie,2023-04-05,7.59,10345
1291608,Dhurandhar,2025-12-05,6.9,218
852665,My Brother and I,2023-04-21,6.1,35
737783,Cecile,1977-05-30,0.0,0
680,Pulp Fiction,1994-09-10,8.486,29843
950387,A Minecraft Movie,2025-03-31,6.3,2854
1007734,Nobody 2,2025-08-13,6.966,1345
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,7.82,21977
